Date,Open,High,Low,Close,Volume
2022-01-07,7550,7700,7500,7650,143433300
2022-01-10,7575,7650,7550,7600,45351900
2022-01-11,7650,7700,7625,7700,110334600
2022-01-12,7700,7700,7650,7700,62606000
2022-01-13,7700,7750,7650,7700,50025200
2022-01-14,7700,7850,7650,7850,65898700
2022-01-17,7900,7900,7700,7750,63902600
2022-01-18,7775,7775,7550,7675,71476300
2022-01-19,7650,7725,7575,7675,60389700
2022-01-20,7725,7775,7625,7775,59925500
2022-01-21,7775,7950,7700,7950,63370500
2022-01-24,7825,7850,7775,7800,40278300
2022-01-25,7675,7775,7625,7775,106796900
2022-01-26,7700,7750,7650,7700,53350200
2022-01-27,7625,7800,7625,7800,71945100
2022-01-28,7800,7825,7700,7775,70595000
2022-01-31,7775,7775,7625,7625,68122000
2022-02-02,7775,7800,7675,7800,65308100
2022-02-03,7800,7825,7700,7725,35100600
2022-02-04,7750,7800,7700,7725,39324700
2022-02-07,7775,7800,7700,7800,56813200
2022-02-08,7750,7850,7725,7725,61883100
2022-02-09,7850,7950,7800,7950,108922200
2022-02-10,7950,7950,7750,7750,93277000
2022-02-11,7675,7825,7650,7825,71968800
2022-02-14,7750,7775,7700,7700,57710700
2022-02-15,7750,7875,7725,7875,55617000
2022-02-16,7850,7975,7825,7975,77055100
2022-02-17,7850,7925,7800,7900,48704600
2022-02-18,7950,7950,7850,7925,56813400
2022-02-21,7925,7975,7900,7950,43821700
2022-02-22,7900,7950,7850,7900,80095500
2022-02-23,7900,8100,7875,8050,99240300
2022-02-24,8125,8150,7925,8000,124947700
2022-02-25,7950,8175,7925,8050,135899900
2022-03-01,8000,8175,8000,8050,136616800
2022-03-02,8225,8225,7975,7975,100301000
2022-03-04,7975,8025,7900,7900,132983400
2022-03-07,7800,7850,7700,7700,130990900
2022-03-08,7700,7850,7650,7650,119256500
2022-03-09,7700,7950,7650,7850,132814500
2022-03-10,7925,7975,7800,7925,86484000
2022-03-11,7725,7950,7725,7950,61053900
2022-03-14,8050,8100,7950,8075,78432100
2022-03-15,8150,8200,8075,8150,111214500
2022-03-16,8275,8275,8075,8200,149761300
2022-03-17,8300,8300,8000,8000,132439400
2022-03-18,8000,8100,7900,7900,143981700
2022-03-21,7800,7950,7800,7900,85485500
2022-03-22,7900,7950,7875,7925,60010900
2022-03-23,7925,7950,7825,7900,82208000
2022-03-24,7850,7950,7800,7925,95245100
2022-03-25,7900,7950,7900,7950,85101200
2022-03-28,7825,7900,7800,7900,83911500
2022-03-29,7875,7900,7825,7850,62180600
2022-03-30,7900,7900,7825,7875,71430600
2022-03-31,7925,8000,7875,7975,112691900
2022-04-01,8075,8075,7850,7925,105575400
2022-04-04,7925,7925,7825,7900,57321200
2022-04-05,7900,7900,7850,7900,48528300
2022-04-06,7825,7850,7750,7750,119263000
2022-04-07,7725,7825,7700,7750,68619400
2022-04-08,7800,7875,7775,7850,69791600
2022-04-11,7825,7875,7725,7725,62776200
2022-04-12,7725,7800,7700,7800,73471300
2022-04-13,7800,7850,7750,7800,57622100
2022-04-14,7800,7800,7700,7700,93342900
2022-04-18,7700,7725,7625,7700,68464700
2022-04-19,7700,7700,7625,7625,98632000
2022-04-20,7725,7725,7625,7650,124388800
2022-04-21,7800,7925,7750,7925,129323400
2022-04-22,7850,7925,7800,7875,85956100
2022-04-25,7875,8000,7825,8000,91279600
2022-04-26,7925,8125,7925,8125,128360900
2022-04-27,8075,8200,8075,8200,89463100
2022-04-28,8250,8250,8075,8125,133730600
2022-05-09,7875,7900,7600,7600,456796600
2022-05-10,7250,7600,7250,7525,268445700
2022-05-11,7525,7700,7450,7650,156535200
2022-05-12,7525,7550,7275,7275,240529600
2022-05-13,7250,7475,7250,7325,212968600
2022-05-17,7275,7475,7275,7400,159657600
2022-05-18,7500,7575,7375,7575,153514300
2022-05-19,7400,7475,7375,7450,140908900
2022-05-20,7425,7475,7400,7400,86520200
2022-05-23,7450,7475,7350,7375,71603500
2022-05-24,7325,7475,7325,7350,108710800
2022-05-25,7400,7450,7350,7375,76747400
2022-05-27,7525,7575,7475,7575,84336900
2022-05-30,7575,7600,7475,7575,105411400
2022-05-31,7600,7750,7525,7750,286292700
2022-06-02,7625,7675,7525,7575,149226300
2022-06-03,7600,7675,7575,7600,80563100
2022-06-06,7550,7575,7425,7450,81140300
2022-06-07,7300,7475,7300,7375,129242500
2022-06-08,7500,7600,7425,7600,108910500
2022-06-09,7500,7575,7500,7500,107828300
2022-06-10,7400,7450,7350,7350,111768600
2022-06-13,7300,7400,7275,7350,85539500
2022-06-14,7300,7400,7250,7400,80865100
2022-06-15,7300,7375,7300,7325,130367100
2022-06-16,7400,7600,7375,7575,132666300
2022-06-17,7425,7550,7425,7500,117839400
2022-06-20,7600,7650,7500,7625,88138700
2022-06-21,7600,7650,7550,7650,44295700
2022-06-22,7625,7650,7500,7500,53041800
2022-06-23,7450,7575,7450,7525,60443000
2022-06-24,7600,7600,7475,7475,57956600
2022-06-27,7475,7500,7350,7350,76354100
2022-06-28,7300,7400,7300,7300,146078100
2022-06-29,7325,7400,7275,7275,98517800
2022-06-30,7300,7400,7250,7250,101343900
2022-07-01,7300,7325,7250,7250,68738800
