Date,Open,High,Low,Close,Volume,MA5,MA20,MA60,AlexanderFilter,RS,RSI,Money Flow Index,%B,10 days Volatility,30 days Volatility,Chaikin Oscilator,MACD,Accumulation and Distribution Oscillator,%K,William %R
04/06/2020,5780,5990,5600,5790,236158500,5483,5158.25,5346.75,13.3072407,1.682758621,62.72493573,65.72600739,1.034834088,381.6857346,267.704439,42344300,-9.583333333,-2131509348,84.73282443,0.152671756
05/06/2020,5790,5855,5585,5725,88157500,5569,5186,5337.333333,16.36178862,1.706293706,63.04909561,66.28046506,0.920916008,391.8622207,287.2469418,116701242.6,35.19230769,-2128244256,79.77099237,0.202290076
08/06/2020,5755,5925,5755,5900,173557500,5711,5220,5334.333333,23.30198537,2.305785124,69.75,71.08984124,0.977478173,384.6348918,313.5692374,113569176.5,98.10897436,-2005733079,93.12977099,0.06870229
09/06/2020,5940,5995,5795,5805,100110000,5800,5246,5325.75,21.82581322,2.735294118,73.22834646,75.69700799,0.869576458,344.4067363,332.2208101,95765477.19,150.7371795,-2095832079,85.5513308,0.144486692
10/06/2020,5800,5865,5595,5800,115382500,5804,5268.25,5315.083333,23.93162393,3.671052632,78.5915493,77.5448042,0.835244443,310.304689,349.9422175,103745548.4,211.7628205,-2036004116,85.17110266,0.148288973
11/06/2020,5750,5810,5605,5680,85187500,5782,5290,5302.5,19.20251836,2.90625,74.4,78.62529295,0.739868548,238.8958978,359.8043064,73405003.75,255.3205128,-2058859299,76.04562738,0.239543726
12/06/2020,5680,5680,5480,5670,96044000,5771,5308.75,5293.666667,14.08450704,3.444444444,77.5,79.0702265,0.717707603,210.7486655,367.8997825,112608233.5,282.1153846,-1972419699,75.09578544,0.249042146
15/06/2020,5680,5710,5500,5500,100844500,5691,5322.75,5288.916667,10.775428,2.27826087,69.49602122,79.09720248,0.606437376,152.6564771,365.6243139,68397025.53,314.0064103,-2073264199,59.42622951,0.405737705
16/06/2020,5580,5795,5580,5760,91518500,5682,5355.25,5286.166667,8.781869688,2.373913043,70.36082474,78.53903243,0.738789148,102.0979921,371.6883775,44810810.35,331.9871795,-2011542420,79.38596491,0.206140351
17/06/2020,5800,5800,5680,5720,79800000,5666,5395.25,5284,10.21194605,2.237704918,69.11392405,78.03911138,0.693994235,101.3903348,369.3396886,14172078.51,359.4230769,-2038142420,72.36180905,0.27638191
18/06/2020,5720,5740,5585,5585,68032000,5647,5435.25,5284.416667,4.197761194,1.389261745,58.14606742,73.25470759,0.594566226,108.6611706,361.7041455,668512.0474,369.3269231,-2106174420,49.06832298,0.50931677
19/06/2020,5600,5650,5545,5575,110071000,5628,5475.75,5292,-3.546712803,1.592307692,61.42433234,63.42142425,0.567883805,116.2637089,362.5274319,-44089571.51,339.5512821,-2153347706,44.37086093,0.556291391
22/06/2020,5595,5660,5530,5540,51590500,5636,5518.75,5301,-4.317789292,1.262773723,55.80645161,57.79697511,0.516774692,103.6592977,363.0419703,-77915687.42,309.2948718,-2197001206,23.52941176,0.764705882
23/06/2020,5570,5660,5520,5620,69954000,5608,5561.5,5317.166667,-1.834061135,0.766423358,43.38842975,51.8107964,0.555051564,92.68225289,365.4663687,-91078970,285.1602564,-2167020920,27.18446602,0.72815534
24/06/2020,5650,5760,5640,5705,57333000,5605,5598.25,5333.333333,-3.305084746,0.875912409,46.692607,44.9781503,0.616185698,80.35701587,370.0714646,-81420219.37,246.025641,-2162243170,43.68932039,0.563106796
25/06/2020,5700,5745,5640,5725,51415000,5633,5636.25,5354.916667,-1.378122308,1,50,50.42104927,0.623897062,83.90470785,373.7854405,-52069209.27,208.3974359,-2130414837,47.57281553,0.524271845
26/06/2020,5720,5760,5640,5645,57467500,5647,5653.75,5374,-2.672413793,0.635714286,38.86462882,40.03809753,0.486419247,83.34416596,375.5758542,-36359327.45,162.4038462,-2183093378,32.03883495,0.679611651
29/06/2020,5640,5695,5585,5675,48796500,5674,5678,5380.583333,-0.088028169,0.785123967,43.98148148,32.49434942,0.493798475,69.92853495,376.4464327,-25080938.06,126.9871795,-2152041060,50.64935065,0.493506494
